id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/40732499	10.2307/40732499	Parenthood, Childlessness, and Weil-Being: A Life Course Perspective	Debra Umberson, Tetyana Pudrovska, Corinne Reczek	Journal of Marriage and Family	72	3	2010-06-01T00:00:00Z	pp. 612-629	National Council on Family Relations	fla		This article reviews recent research (1999 — 2009) on the effects of parenthood on wellbeing. We use a life course framework to consider how parenting and childlessness influence well-being throughout the adult life course. We place particular emphasis on social contexts and how the impact of parenthood on well-being depends on marital status, gender, race/ethnicity, and socioeconomic status. We also consider how recent demographic shifts lead to new family arrangements that have implications for parenthood and well-being. These include stepparenting, parenting of grandchildren, and childlessness across the life course.	
10.2307/20707901	10.2307/20707901	MISSISSIPPIAN ADAPTATIONS TO THE MIDDLE CUMBERLAND DRAINAGE OF CENTRAL TENNESSEE	Robert L. Jolley	Midcontinental Journal of Archaeology	8	1	1983-01-01T00:00:00Z	pp. 73-90	AltaMira Press, Midwest Archaeological Conference, Inc.	fla		This study examines the Mississippian population density of the Middle Cumberland drainage in the vicinity of Nashville. To explain the high Mississippian population density of the area, a number of ecological and sociocultural hypotheses are considered. The hypotheses that have been previously used to explain differences in the distribution and density of Mississippian sites are considered to be less plausible than alternate hypotheses proposed in this paper.	
10.2307/449145	10.2307/449145	Registration, Turnout, and State Party Systems	Robert D. Brown, Robert A. Jackson, Gerald C. Wright	Political Research Quarterly	52	3	1999-09-01T00:00:00Z	pp. 463-479	Sage Publications, Inc., University of Utah	fla		This study reexamines the influence of party elite liberalism on voter participation across the American states. Incorporating Hill and Leighley's measure of liberal party control, we offer a framework that places party elites as an important component in the state electoral setting. However, this effort departs from previous work by suggesting that studies of voter mobilization should pay greater attention to participation as a multi-stage process, where citizens must first register. Our results conform to expectations driven by this conceptualization. States with more liberal Democratic elites and more Democratic legislatures witness higher levels of registration, controlling for other factors. We find that the influence of liberal party control on state turnout is indirect, operating through registration. Our results are consistent with a view of party elite ideology as a long-term, rather than campaign-specific, component of state electoral politics. More generally, the analyses provide new insight into influences on aggregate registration and turnout and into the electoral participation across the United States of different income classes.	
10.2307/504738	10.2307/504738	The Americanist Literature for 1983: A Year of Contrasts and Challenges	Robert C. Dunnell	American Journal of Archaeology	88	4	1984-10-01T00:00:00Z	pp. 489-513	Archaeological Institute of America	fla		In contrast with the consolidating character of the Americanist archaeological literature of recent years, the literature for 1983 contains both shifts in emphasis and emerging challenges to the theoretical position that has dominated the past two decades. The outcome of these changes is by no means settled, but Americanist archaeology is nevertheless more diverse than it has been for many years. Substantive contributions remain conservative and largely within the culture historical framework. The dominance of lithic and faunal studies in their respective domains is giving way to innovative work in ceramic analysis and paleoethnobotanical studies. Cultural resource management (CRM) continues to be the center of debate, but in 1983 theoretical challenges of wide potential impact have been added to the more pragmatic considerations of past years. A brief examination of historical archaeology, only recently drawn within the Americanist approach, shows it to reflect the main themes and problems of the larger disciplines. Only in the area of field techniques is development apparently linear and progressive. The most important development, however, is the continued appearance of non-materialist, non-scientific interpretive models, particularly those that can be loosely termed "symbolic approaches." These approaches are in direct opposition to the basic tenets of the new archaeology that have served as the theoretical core of Americanist archaeology for two decades. The rise of alternative approaches is seen as a direct consequence of the failure of the new archaeology to develop theoretical tools for assigning meaning to archaeological phenomena in a way that is consistent with its materialistic underpinnings.	
10.2307/30219493	10.2307/30219493	Markets, Ownership, and the Quality of Campaign News Coverage	Johanna Dunaway	The Journal of Politics	70	4	2008-10-01T00:00:00Z	pp. 1193-1202	Cambridge University Press, Southern Political Science Association	fla		The quality of political news coverage has implications for the information voters are left with to make political decisions. This article argues that the quality of the information found in political news is influenced by media ownership and market contexts. Using original data containing news coverage of competitive statewide races in 2004, coverage provided by multiple media outlets is examined as a function of ownership structure and market context. The results indicate that corporate ownership and market contexts matter in determining the quality of information offered in political news coverage.	
10.2307/2533618	10.2307/2533618	Efficiency Robust Tests for Survival or Ordered Categorical Data	Boris Freidlin, Marvin J. Podgor, Joseph L. Gastwirth	Biometrics	55	3	1999-09-01T00:00:00Z	pp. 883-886	International Biometric Society	fla		The selection of a single method of analysis is problematic when the data could have been generated by one of several possible models. We examine the properties of two tests designed to have high power over a range of models. The first one, the maximum efficiency robust test (MERT), uses the linear combination of the optimal statistics for each model that maximizes the minimum efficiency. The second procedure, called the MX, uses the maximum of the optimal statistics. Both approaches yield efficiency robust procedures for survival analysis and ordinal categorical data. Guidelines for choosing between them are provided.	
10.2307/4623814	10.2307/4623814	Globalization and Perceptions of Policy Maker Competence: Evidence from France	Timothy Hellwig	Political Research Quarterly	60	1	2007-03-01T00:00:00Z	pp. 146-158	Sage Publications, Inc., University of Utah	fla		Does globalization affect perceptions of policy maker competence? Despite considerable attention to connections between globalization and policy efficacy, no research explores connections between the world economy and confidence in politicians. This article makes three novel arguments. First, by constraining administrative control over policy outcomes, economic globalization reduces levels of public confidence in national executives. Second, by signaling a more complex policy-making environment, exposure to world markets increases the volatility of policy maker evaluations. And third, economic openness affects public preferences over policy by shifting policy demands-away from domains constrained by market liberalization and toward areas where national autonomy remains strong. Time-series analyses of public opinion data from France support research expectations. As the first study to link economic globalization to policy perceptions, this article finds that the political consequences of engaging the global economy are more numerous than previously implied.	
10.2307/20152538	10.2307/20152538	Back Matter		The Journal of Experimental Education	65	4	1997-07-01T00:00:00Z		Taylor & Francis, Ltd.	mis			
10.2307/41633900	10.2307/41633900	Network Dynamics and Market Structure: The Case of Art Fairs	Tamar Yogev, Thomas Grund	Sociological Focus	45	1	2012-01-01T00:00:00Z	pp. 23-40	Taylor & Francis, Ltd.	fla		Annual art fairs are a crucial element of the contemporary art market. Art galleries represent artists and exhibit their work at fairs all over the world. These fairs expose the gallery and its artists and create and maintain relationships with key actors in the global art market. Using data recording artists and galleries presenting at art fairs alongside qualitative interviews with different actors operating in the art market, we study the development of the art fair network over three years, 2005-2007. Our findings suggest significant network and homophily effects regarding the status and age of artists at fairs. However, the internationality of fairs and geographic distances between them do not seem to have any effect.	
10.2307/25549518	10.2307/25549518	The Literature of American Library History, 2003-2005	Edward A. Goedeken	Libraries & the Cultural Record	43	4	2008-01-01T00:00:00Z	pp. 440-480	University of Texas Press	fla			
10.2307/1251340	10.2307/1251340	Strategic Adaptability and Firm Performance: A Market-Contingent Perspective	Daryl O. McKee, P. Rajan Varadarajan, William M. Pride	Journal of Marketing	53	3	1989-07-01T00:00:00Z	pp. 21-35	American Marketing Association	fla		The authors test the proposition that the effectiveness of a particular strategic orientation-reactor, defender, analyzer, and prospector-is contingent upon the dynamics of the market. In mildly volatile markets, analyzer organizations are found to outperform other organization strategy types. However, in more volatile markets, the strategy-performance alignment is less clearly determined by the market environment.	
10.2307/27760835	10.2307/27760835	Index of Periodical Articles on Industrial Relations in               India		Indian Journal of Industrial Relations	4	2	1968-10-01T00:00:00Z	pp. 263-270	Shri Ram Centre for Industrial Relations and Human Resources	mis			
10.2307/3151367	10.2307/3151367	Relcon: A Program for the Estimation of Internal Consistency of Composites with Congeneric Measurement Properties		Journal of Marketing Research	22	2	1985-05-01T00:00:00Z	pp. 216-217	American Marketing Association	mis			
10.2307/1937465	10.2307/1937465	Flexible Larval Growth Allows Use of a Range of Host Sizes by a Parasitoid Wasp	Jeffrey A. Harvey, Ian F. Harvey, David J. Thompson	Ecology	75	5	1994-07-01T00:00:00Z	pp. 1420-1428	Ecological Society of America	fla		Recent optimality models of host-parasitoid associations have assumed that host quality varies with host size or age at parasitism. This is based on the fact that larger hosts provide more resources, making size a reliable indicator of the amount of resources available for parasitoid development. Few studies have examined this is parasitoids that allow their hosts to continue development after parasitism (koinobiont parasitoids). In this study we compared growth trajectories of the koinobiont ichneumonid endoparasitoid Venturia canescens developing in four larval instars of one of its host, the moth Plodia interpunctella. Hosts were reared with excess food and parasitized as late second, third, fourth, and fifth instars. Hosts were dissected at intervals after parasitism, and host and parasitoid dry mass determined. The survivorship, development time, and size of eclosing adult wasp were also monitored. Hosts parasitized by Venturia continued to grow and become prepupae, although their maximum masses were progressively smaller the earlier that the hosts were parasitized: second-instar (L2) hosts grew to 70% of control (unparasitized) size, while L4 and L5 hosts reached control size. The maximum larval dry mass, as well as eclosing adult size, varied with host instar at parasitism. Venturia larvae spent prolonged periods as first instars when developing from L2 hosts and grew most rapidly during early stages in L5 larvae.The data show that for Venturia, host quality is not a direct function of host at parasitism. Furthermore, the pattern of development shown by Venturia differs markedly from that shown by aphidiid koinobiont parasitoids.	
10.2307/284484	10.2307/284484	Aversion to School Teaching as a Factor in the Choice of Science Subjects	C. L. Jones, G. M. Littlejohn, A. F. McPherson	Science Studies	3	2	1973-04-01T00:00:00Z	pp. 173-179	Sage Publications, Ltd.	fla			
10.2307/20002552	10.2307/20002552	Population Information Systems	A. G. Champion	Area	20	1	1988-03-01T00:00:00Z	pp. 82-83	The Royal Geographical Society (with the Institute of British Geographers), Wiley	mis			
10.2307/40220133	10.2307/40220133	Discrimination, Women, and Work: Processes and Variations by Race and Class	Susan Y. Ortiz, Vincent J. Roscigno	The Sociological Quarterly	50	2	2009-04-01T00:00:00Z	pp. 336-359	Midwest Sociological Society, Wiley	fla		Research on gender and workplace stratification has made clear that persistent employment, wage, and mobility gaps exist, and that discrimination at organizational and interactional levels is playing a role. Few studies, however, have been able to directly capture processes involved. In this article, we draw on unique qualitative and quantitative data pertaining to verified cases of workplace sex and race discrimination (1988 to 2003), and analyze the discriminatory experiences of African-American and white women across various occupational statuses. Notable are high levels of discriminatory firing for both groups, but higher instances of race-based promotional discrimination for black women--a pattern partially linked to their disparate concentration in sex-segregated workplaces and in positions of lower occupational prestige. Our qualitative immersion into case materials reveals influential mechanisms and employer justifications, unique manifestations of differential treatment on the job, and the use of "soft skill" criteria in gatekeeper decision making. We conclude by discussing important dimensions of workplace discrimination for women, variations by social class and race status, and how complexities of status matter for what women experience and gatekeeper behavior.	
10.2307/41165049	10.2307/41165049	Evaluating Quality Circles: The American Application	Robert Wood, Frank Hull, Koya Azumi	California Management Review	26	1	1983-10-01T00:00:00Z	pp. 37-53	University of California Press	fla		In what represents a reversal in the flow of knowledge between the two countries, managers in U.S. organizations have begun to study and imitate the practices of their Japanese counterparts. The quality circles programs that exist in many Japanese organizations are being widely adopted in U.S. organizations. However, the high expectations and lack of planned evaluation for the quality circle programs in many U.S. organizations suggests that quality circles are already in the adoption-disappointment-discontinuation cycle that has been characteristic of many other managerial fads. The authors present several reasons why qualify circles can lead to increases in the morale, motivation, productivity, and work quality of workers and suggest that the conventional wisdom, which sees them as either a form of job enrichment or a human relations technique, is ill-focused. The types of organizational settings in which quality circles are most likely to be effective are discussed and suggestions are made regarding the proper evaluation of quality circle programs.	
10.2307/20071574	10.2307/20071574		James R. Rush	Journal of Southeast Asian Studies	24	2	1993-09-01T00:00:00Z	pp. 406-408	Cambridge University Press, Department of History, National University of Singapore	brv	Chinese Economic Activity in Netherlands India: Selected Translations from the Dutch|M. R. Fernando;David Bulbeck		
10.2307/2391755	10.2307/2391755		Tove Helland Hammer, John Anderson, Michael Gurdon, Todd Jick, Andre Petit, Robert Stern, Howard Schwartz, Yoav Vardi	Administrative Science Quarterly	22	1	1977-03-01T00:00:00Z	pp. 151-170	Johnson Graduate School of Management, Cornell University, Sage Publications, Inc.	brv	Handbook of Industrial and Organizational Psychology.|Marvin D. Dunnette		
10.2307/1707515	10.2307/1707515	Front Matter		Science	134	3471	1961-07-07T00:00:00Z	pp. 1-61	American Association for the Advancement of Science	mis			
10.2307/41236794	10.2307/41236794	PHYSICAL PROPERTIES AND FORMATION OF FLUTES AT A POLYTHERMAL VALLEY GLACIER: MIDRE LOVÉNBREEN, SVALBARD	SAM ROBERSON, BRYN HUBBARD, HAYLEY R. COULSON, IAN BOOMER	Geografiska Annaler. Series A, Physical Geography	93	2	2011-01-01T00:00:00Z	pp. 71-88	Swedish Society for Anthropology and Geography, Wiley	fla		Flutes are widespread across the forefield of a polythermal valley glacier Midre Lovénbreen, Svalbard, where they consistently form on the downglacier face of cobble to bouldersized subglacially-transported clasts ploughed into proglacial till. The width of flutes at Midre Lovénbreen is constant along their long-axes and proportional to the size of their associated subglacially-transported boulders. Frozen flutes are observed subglacially where they protrude into the debris-rich basal ice layer of the glacier. Particlesize analysis shows that flutes are depleted in gravel-sized particles relative to adjacent subglacial till. Ice sampled from flutes is enriched in δ¹ɸO relative to overlying glacier ice and debris-rich basal ice. These properties are interpreted to reflect the formation of flutes by the squeezing of till into basal cavities associated with boulders beneath warm-based ice in the interior of the glacier. It is hypothesized that localized freeze-on of flute sediments, within a broader zone of warm-based ice, occurs within cavities due to either (i) a 'heat-pump' effect operating across these boulders leading to the development of a cold patch within the cavity, and/or (ii) fluctuations in cavity length caused by slip-stick glacial motion. Once incorporated into the basal ice layer, the frozen flute sediment would then be transported away from the boulder by ice flow, allowing the cavity to remain continuously open and the flute to propagate downflow.	
10.2307/211335	10.2307/211335	Geographical Record		Geographical Review	35	3	1945-07-01T00:00:00Z	pp. 477-497	American Geographical Society	mis			
10.2307/2130290	10.2307/2130290	Sources of Public Opinion on Taxes: the Florida Case	Paul Allen Beck, Thomas R. Dye	The Journal of Politics	44	1	1982-02-01T00:00:00Z	pp. 172-182	Cambridge University Press, Southern Political Science Association	fla			
10.2307/3100343	10.2307/3100343	A Study of the Relationships between Compensation Package, Work Motivation and Job Satisfaction	Jacques Igalens, Patrice Roussel	Journal of Organizational Behavior	20	7	1999-12-01T00:00:00Z	pp. 1003-1025	Wiley	fla		This study applied the theoretical framework based on expectancy and discrepancy theories to examine how the elements of total compensation might influence work motivation and job satisfaction. The principal dimensions of total compensation that give rise to distinct reactions among employees were examined. Two samples of employees, 269 exempt employees and 297 nonexempt employees, were studied separately in order to identify the differences of reaction between these two groups. The relationships between the elements of total compensation, work motivation and job satisfaction were analysed by a structural equations model with LISREL VII. Proposals were developed to predict the conditions of compensation efficiency on work motivation and job satisfaction in the cultural context of employment in France. The three principal conclusions of the study were: (1) under certain conditions, individualized compensation of exempt employees can be a factor of work motivation; (2) flexible pay of nonexempt employees neither motivates nor increases job satisfaction; (3) benefits of exempt and nonexempt employees neither motivate nor increase job satisfaction.	
10.2307/2237823	10.2307/2237823	News and Notices		The Annals of Mathematical Statistics	31	4	1960-12-01T00:00:00Z	pp. 1219-1254	Institute of Mathematical Statistics	nws			
10.2307/2573174	10.2307/2573174	Occupational Mobility and Family Relationships	Robert P. Stuckert	Social Forces	41	3	1963-03-01T00:00:00Z	pp. 301-307	Oxford University Press	fla		Many sociologists believe social mobility to be detrimental to extended family relations. An empirical examination of the relations between occupational mobility and four dimensions of family cohesion for a sample of married women supports this view. Furthermore, this is part of a broader pattern of general social isolation.	
10.2307/3108849	10.2307/3108849	Selected Bibliography of Recent Works		Newsletter of the Program on Public Conceptions of Science		8	1974-06-01T00:00:00Z	pp. 71-130	Sage Publications, Inc.	mis			
10.2307/3268548	10.2307/3268548	The Oxyrhynchus New Testament Papyri: "Not without Honor except in Their Hometown"?	Eldon Jay Epp	Journal of Biblical Literature	123	1	2004-04-01T00:00:00Z	pp. 5-55	The Society of Biblical Literature	fla			
10.2307/4480144	10.2307/4480144	Front Matter		Financial Analysts Journal	55	2	1999-03-01T00:00:00Z	pp. 1-50	CFA Institute	mis			
10.2307/3749963	10.2307/3749963	Philosophy of History and Historical Research	F. Gerald Downing	Philosophy	44	167	1969-01-01T00:00:00Z	pp. 33-45	Cambridge University Press, Royal Institute of Philosophy	fla			
10.2307/2288331	10.2307/2288331	Dynamic Representation of Multivariate Time Series Data	J. J. Mezrich, S. Frysinger, R. Slivjanovski	Journal of the American Statistical Association	79	385	1984-03-01T00:00:00Z	pp. 34-40	American Statistical Association	fla		In this article we describe a procedure for representing multivariate time series data by means of interactive, computer-generated dynamic imagery with computer-music accompaniment. This innovation conveys the novel insights that dynamic imagery can provide; yet, the imagery is developed from principles that make the representation useful when examined either statically or dynamically. This is because the development of the dynamic representation is guided by the same perceptual and technical principles used in making a motion picture. The particular implementation we describe is evaluated by a formal psychophysics experiment in which we measure the threshold correlation that can be perceived in our dynamic representation, and in each of three different types of graphical portrayals.	
10.2307/20229476	10.2307/20229476	Address In Public Medicine. Sanitary Science And The Prevention Of Zymotic Disease	Charles A. Cameron	The British Medical Journal	2	1754	1894-08-11T00:00:00Z	pp. 293-301	BMJ Publishing Group	fla			
10.2307/20332747	10.2307/20332747	Evaluation Of The Rat Ovarian Hyperaemia Test For Pregnancy Diagnosis	S. D. Elek	The British Medical Journal	2	4939	1955-09-03T00:00:00Z	pp. 600-602	BMJ Publishing Group	fla			
10.2307/1740057	10.2307/1740057	Books Received		Science	190	4211	1975-10-17T00:00:00Z	pp. 264+296+298-300+302+304-305+307	American Association for the Advancement of Science	mis			
10.1086/664990	10.1086/664990	Notes on Contributors		Isis	103	1	2012-03-01T00:00:00Z	pp. 224-228	The History of Science Society, The University of Chicago Press	fla			
10.2307/25033040	10.2307/25033040	Front Matter		Sewage and Industrial Wastes	28	4	1956-04-01T00:00:00Z		Water Environment Federation	mis			
10.2307/2844717	10.2307/2844717	The Distribution of Abundance. I. Measurements	Rob Hengeveld, Jaap Haeck	Journal of Biogeography	9	4	1982-07-01T00:00:00Z	pp. 303-316	Wiley	fla		We investigated the spatial distributions of densities within the geographical ranges of species of carabid beetles, birds and plants. Unselected data of hundreds of species from censures in sampling areas of varying size and location in northwestern Europe were analysed. The geographical distribution of species abundance is as a rule heterogeneous, with the highest abundances occurring near the centres of the species ranges and the lowest at the margins. As this trend was found in a great number of unselected species beloging to quite different biological taxa, we feel that this trend may be considered as a general biogeographical rule. We obtained this result mainly from indirect measurements, meaning that we deduce the geographical trend within species ranges from correlations of local frequencies of occurrence with the distance of the sampling area to the range centre for each species. The picture may be complicated by such biological properties as the species' feeding habits that also greatly affect their density, but within each of the groups distinguished we found that the same general rule applies. The interpretation of such peaked distributions in terms of two-dimensional ecological tolerance or optimum response surfaces in geographic space is discussed in a second paper.	
10.2307/20057607	10.2307/20057607	Commentary: Economic and Literary History: An Economist's Perspective	Gregory P. La Blanc	New Literary History	31	2	2000-04-01T00:00:00Z	pp. 355-377	The Johns Hopkins University Press	fla			
10.2307/41466415	10.2307/41466415	Multiple QTLs Influence Variation in Paraoxonase 1 Activity in Mexican Americans	DEIDRE A. WINNIER, DAVID L. RAINWATER, SHELLEY A. COLE, THOMAS D. DYER, JOHN BLANGERO, JEAN W. MACCLUER, MICHAEL C. MAHANEY	Human Biology	78	3	2006-06-01T00:00:00Z	pp. 341-352	Wayne State University Press	fla		Paraoxonase 1 (PON1), a high-density-lipoprotein-associated enzyme known to protect against cellular damage from toxic agents, may also have antioxidant properties. Although the importance of the influence of the PON1 structural locus on chromosome 7q21-22 for variation in the concentration and activity of the enzyme is well-documented, the contribution of other loci is poorly understood. Based on the recent observations of at least one additional quantitative trait locus (QTL) for PON1 activity in pedigreed baboons, we conducted a whole-genome linkage screen for QTLs other than the PON1 structural locus that may influence PON1 activity in humans. We measured PON1 activity in frozen serum for 1,406 individuals in more than 40 extended pedigrees from the San Antonio Family Heart Study (SAFHS). We used a maximum-likelihood-based variance decomposition approach implemented in SOLAR to test for QTLs that may influence PON1 activity. In addition to a QTL for which we detected the strongest, significant evidence (LOD = 31.41) at or near the PON1 structural locus on chromosome 7q21-22, we also localized at least one additional significant QTL on chromosome 12 (LOD = 3.56). Furthermore, we detected suggestive evidence for two more PCW-related QTLs on chromosomes 17 and 19. We have provided evidence that other genes, in addition to the well-known ones on chromosome 7, play a role in influencing normal variation in PON1 activity.	
10.2307/40016954	10.2307/40016954	Back Matter		Journal of Adolescent & Adult Literacy	41	5	1998-02-01T00:00:00Z		International Reading Association	mis			
10.2307/2117469	10.2307/2117469	Imperfect Competition and Basing-Point Pricing: Evidence from the Softwood Plywood Industry	Thomas W. Gilligan	The American Economic Review	82	5	1992-12-01T00:00:00Z	pp. 1106-1119	American Economic Association	fla		The Federal Trade Commission's action to eliminate basing-point pricing in the softwood plywood industry during the mid-1970's created a natural experiment: I find that the FTC's action had no effect on the delivered price of the base-site product (Douglas fir plywood) but decreased the delivered price of the non-base-site product (pine plywood) for many consumers. The evidence suggests that the detrimental effects of basing-point pricing for economic welfare were reflected entirely in the behavior of non-base-site firms.	
10.2307/2338556	10.2307/2338556	Volume Information		Journal of the Statistical Society of London	25	1	1862-03-01T00:00:00Z	pp. i-viii	Royal Statistical Society, Wiley	mis			
10.2307/2645903	10.2307/2645903	Africa in the Global Infosupermarket: Perspectives and Prospects	Emmanuel K. Ngwainmbi	Journal of Black Studies	30	4	2000-03-01T00:00:00Z	pp. 534-552	Sage Publications, Inc.	fla			
10.2307/2527115	10.2307/2527115	Systematic Departures from the Frontier: A Framework for the Analysis of Firm Inefficiency	David Reifschneider, Rodney Stevenson	International Economic Review	32	3	1991-08-01T00:00:00Z	pp. 715-723	Economics Department of the University of Pennsylvania, Institute of Social and Economic Research -- Osaka University, Wiley	fla		Departures from a production or cost frontier may reflect the systematic effect of conditions that contribute to inefficiency. To test whether some portion of frontier function departures can be systematically explained, the frontier inefficiency error component is modeled as a function of various causal factors and a random component. The functional form of the inefficiency error term model is chosen to assure strict one-sidedness. Preliminary empirical results generated from electric utility data suggest the superiority of including both systematic and random components in the inefficiency error term.	
10.2307/30115041	10.2307/30115041	Interferon Prophylaxis against Simian Varicella in Erythrocebus patas Monkeys	Ann M. Arvin, David P. Martin, Elizabeth A. Gard, Thomas C. Merigan	The Journal of Infectious Diseases	147	1	1983-01-01T00:00:00Z	pp. 149-154	Oxford University Press	fla		Erythrocebus patas monkeys were given placebo or human leukocyte interferon (5 x 10⁵ units/kg of body weight per day im) for five days during an epizootic of simian varicella. During the 14 days beginning with the first day of treatment, the attack rate for simian varicella was 14.3% (two of 14) among interferon recipients compared to 70% (nine of 13) among placebo recipients (P < 0.025). Excluding animals with antibody to simian varicella when the study began, 18% (two) of 11 interferon recipients had symptoms of infection compared to 80% (nine) of 11 placebo recipients (P < 0.025). The epizootic began in a room housing male animals. The incidence of infection in male placebo recipients was 100% (seven of seven) compared to 14% (one of seven) in male interferon recipients (P < 0.01). The efficacy of interferon prophylaxis in the simian varicella model supports its continued evaluation for the management of human varicella in high-risk patients.	
10.2307/3899049	10.2307/3899049	Exposition on the Selection of Appropriate Experimental Design and Statistical Analysis for Pasture Improvement Research	W. W. Stroup, S. S. Waller, R. N. Gates	Journal of Range Management	39	3	1986-05-01T00:00:00Z	pp. 200-207	Allen Press, Society for Range Management	fla		Selection of appropriate treatment and experiment designs are essential elements in research. However, the expense and variability associated with pasture renovation studies creates unique problems in the application of standard statistical techniques. Pasture-size renovation studies are restricted by expense, requiring the use of grazing exclosures (subsamples). Treatment design must include an adequate control for treatment comparison. Controls for pasture renovation practices cannot be limited to untreated areas within a grazing exclosure. The true measure response is found in the difference between treated areas and a typical grazed pasture situation. Criteria for exclosure selection (homogeneity) and heterogeneity of the grazed pasture may result in unequal variances or nonnormal error distributions, thus restricting the use of an analysis of variance. The experiment design must recognize the requirements for making reliable inferences. Pasture-to-pasture variability generally demands that pastures should be replicated in renovation studies to allow general inferences. Within pasture variability would support the need for multiple exclosures within each pasture. Costs associated with this kind of research limit the utility of idealized experimental designs. Several alternative experimental designs are discussed. Limitations in interpretation and risks of drawing erroneous or weak conclusions are reviewed.	
10.1086/651261	10.1086/651261	Schools as Agencies of Protection in Namibia and Swaziland: Can They Prevent Dropout and Child Labor in the Context of HIV/AIDS and Poverty?	Bjorn Harald Nordtveit	Comparative Education Review	54	2	2010-05-01T00:00:00Z	pp. 223-242	Comparative and International Education Society, The University of Chicago Press	fla			
10.2307/41601546	10.2307/41601546	The Philippine Chinese : From Aliens to Cultural Minority	GEORGE H. WEIGHTMAN	Journal of Comparative Family Studies	16	2	1985-07-01T00:00:00Z	pp. 161-179	Dr. George Kurian	fla		Though much smaller than similar communities in Thailand, Indonesia, and Malaysia, the Philippine Chinese are of considerable economic and historic interest. Both the Spanish and American colonial experiences have had considerable influence on the processes of assimilation and of the development of the intra-structure of this dynamic community. The Philippine Chinese have developed an elaborate communal structure with a network of agencies which include familial, religious, commercial and educational institutions. The last three decades have witnessed profound changes in the institutional structure and demographic composition and distribution of the Philippine Chinese. Family and multiple clan groupings have reasserted themselves during a time of great social change and political uncertainty. Bien qu'ils soient en moins grand nombre que dans les groupes de la Thailande, del 'Indonésie et de la Malaisie, les Chinois Philippins ont une importance considérable au point de vue économique et historique. Les expériences coloniales espagnole et américaine ont eu une influence considérable sur les procédés d'assimilation et de développement de l'infrastructure de cette comunauté dynamique. Les Chinois Philippins out développé une structure communale composée d'un réseau d'agences comprenant les institutions religieuses, commerciales, familiales et les institutions d'enseignement. Les trois dernières décennies ont été témoins de changements profonds dans la structure institutiounelle, la composition démographique et la répartition des Chinois Philippins. Les groupements de famille et de clans multiples se sont réaffirmés pendant une période de grand changement social et d'incertitude au point de vue politique. Aunque menor en número que comunidades similares en Tailandia, Indonesia Y Malasia, los chinos filipinos son de considerable interés en términos económicos e históricos. La experiencia colonial española, así como la norteamericana, ha ejercido considerable influencia en el proceso de asimilización y el desarrollo de la intra-estructura de esta comunidad dinámica. Los chinos filipinos han desarrollado una estructura comunal complicada que comprende una red de agencias entre las cuales hay instituciones de familia, religiosas, comerciales Y educacionales. En las últimas tres décadas se han observado cambios profundos en la estructura institucional, en el compuesto demográfico Y en la distribución de los chinos filipinos. Agrupaciones de familia y de clanes múltiples se han reafirmado durante una época de grandes cambios sociales y de incertidumbre política.	
10.2307/20333102	10.2307/20333102	Management Of The Pregnant Diabetic	J. H. Peel	The British Medical Journal	2	4944	1955-10-08T00:00:00Z	pp. 870-874	BMJ Publishing Group	fla			
10.2307/41860383	10.2307/41860383	PRODUCTIVITY OF LABOR		Monthly Labor Review	24	1	1927-01-01T00:00:00Z	pp. 35-49		fla			
10.2307/30122914	10.2307/30122914	Back Matter		The Journal of Infectious Diseases	160	2	1989-08-01T00:00:00Z		Oxford University Press	mis			
10.2307/2221140	10.2307/2221140	The Measure of Industrial Economy or the Science of Economic Industrial Production	Robert H. Smith	The Economic Journal	16	61	1906-03-01T00:00:00Z	pp. 52-65	Royal Economic Society, Wiley	fla			
10.2307/2526127	10.2307/2526127	Least Squares Approximations to Unknown Regression Functions: A Comment	R. P. Byron, A. K. Bera	International Economic Review	24	1	1983-02-01T00:00:00Z	pp. 255-260	Economics Department of the University of Pennsylvania, Institute of Social and Economic Research -- Osaka University, Wiley	fla			
